"Category","Business Impact","Recommendation","Subscription ID","Subscription Name","Resource Group","Resource Name","Type","Updated Date","Potential benefits","Potential Annual Cost Savings","Potential Cost Savings Currency"
"Reliability","High","Use Azure Disks with Zone Redundant Storage (ZRS) for higher resiliency and availability","39b847ee-38c1-4871-97bc-b815e2e56539","CspProd01 (39b847ee-38c1-4871-97bc-b815e2e56539)","rgpcepegra","lxpcepegra01_osdisk","Disk","2025-06-29T13:30:54.7642857Z","By designing your applications to use ZRS Disks, your data is replicated across 3 Availability Zones, making your disk resilient to a zonal outage","",""
"Security","Medium","Virtual machines and virtual machine scale sets should have encryption at host enabled","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns2r.dmz.azure.forem.be","Virtual machine","2025-06-30T05:23:44.8318084Z","Prevent potential security breaches","",""
"Reliability","High","Use Availability zones for better resiliency and availability","39b847ee-38c1-4871-97bc-b815e2e56539","CspProd01 (39b847ee-38c1-4871-97bc-b815e2e56539)","rgpcepegra","lxpcepegra01","Virtual machine","2025-06-30T05:37:31.6063052Z","Usage of zonal VMs protect your apps from zonal outage in any other zones.","",""
"Reliability","High","Use Availability zones for better resiliency and availability","27968616-adf3-45ac-9277-2750fe1d896f","DsiADC01 (27968616-adf3-45ac-9277-2750fe1d896f)","fortiadc-rg","fortiadcprd01","Virtual machine","2025-06-30T05:43:44.6059030Z","Usage of zonal VMs protect your apps from zonal outage in any other zones.","",""
"Cost","Medium","Review disks that are not attached to a VM and evaluate if you still need the disks","39b847ee-38c1-4871-97bc-b815e2e56539","CspProd01 (39b847ee-38c1-4871-97bc-b815e2e56539)","rgpatlassian","lxpconfluence1-osdisk","Disk","2025-06-30T09:51:10.6160008Z","Cost saving.","",""
"Reliability","High","Migrate workload to D-series or better virtual machine","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","rgplinuxcore","lxpidm3.azure.forem.be","Virtual machine","2025-06-29T22:56:40.6419929Z","Full CPU performance for heavy workload in production","",""
"Reliability","Medium","Migrate workload to Virtual Machine Scale Sets Flex","39b847ee-38c1-4871-97bc-b815e2e56539","CspProd01 (39b847ee-38c1-4871-97bc-b815e2e56539)","rgpcepegra","lxpcepegra01","Virtual machine","2025-06-29T22:57:54.9508224Z","Enhanced resilience to platform faults and updates.","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","monitoring-rg","lxamonpx1","Virtual machine","2025-06-30T05:11:11.6661184Z","Guaranteed compute capacity in constrained region or zone.","",""
"Security","High","Machines should be configured to periodically check for missing system updates","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgpmoodlefad","lxpzfadmariadb1","Virtual machine","2025-06-29T23:50:25.3324754Z","Prevent potential security breaches","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","27968616-adf3-45ac-9277-2750fe1d896f","DsiADC01 (27968616-adf3-45ac-9277-2750fe1d896f)","fortiadc-rg","fortiadcprd02-vip-dmz-prodnic","Network interface","2025-06-30T05:04:44.3295611Z","Secure and explicit outbound access for new subnets.","",""
