NAME,SUBSCRIPTION,RESOURCE GROUP,LOCATION,STATUS,OPERATING SYSTEM,SIZE,PUBLIC IP ADDRESS,DISKS,UPDATE STATUS
"AZWPADFSPROXY00","DsiDmz01","rgpadfswap","West Europe","Running","Windows","Standard_B2ms"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/05509e54-c22d-42ec-ae15-948a48340383/resourcegroups/rgpadfswap/providers/microsoft.compute/virtualmachines/azwpadfsproxy00""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"AZWPADFSSRV00","DsiTier0","rgpadfs","West Europe","Running","Windows","Standard_D4s_v3"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/c704e378-20de-426d-af3d-6ef10c3545f0/resourcegroups/rgpadfs/providers/microsoft.compute/virtualmachines/azwpadfssrv00""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"azwpcmdp00","DsiTier0","core-rg","West Europe","Running","Windows","Standard_D2s_v3"," -","2","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/c704e378-20de-426d-af3d-6ef10c3545f0/resourcegroups/core-rg/providers/microsoft.compute/virtualmachines/azwpcmdp00""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"azwpdcn00","DsiTier0","core-rg","West Europe","Stopped (deallocated)","Windows","Standard_D2S_v3"," -","2","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/c704e378-20de-426d-af3d-6ef10c3545f0/resourcegroups/core-rg/providers/microsoft.compute/virtualmachines/azwpdcn00""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"azwpdcn01","DsiTier0","core-rg","West Europe","Stopped (deallocated)","Windows","Standard_D2S_v3"," -","2","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/c704e378-20de-426d-af3d-6ef10c3545f0/resourcegroups/core-rg/providers/microsoft.compute/virtualmachines/azwpdcn01""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"azwpdcn02","DsiTier0","CORE-RG","West Europe","Stopped (deallocated)","Windows","Standard_D2s_v3"," -","3","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/c704e378-20de-426d-af3d-6ef10c3545f0/resourcegroups/core-rg/providers/microsoft.compute/virtualmachines/azwpdcn02""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"azwpkms00","DsiTier0","core-rg","West Europe","Running","Windows","Standard_D2s_v3"," -","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/c704e378-20de-426d-af3d-6ef10c3545f0/resourcegroups/core-rg/providers/microsoft.compute/virtualmachines/azwpkms00""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"FortiADCPRD01","DsiADC01","FORTIADC-RG","West Europe","Running","Linux","Standard_F8s"," -","2","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/27968616-adf3-45ac-9277-2750fe1d896f/resourcegroups/fortiadc-rg/providers/microsoft.compute/virtualmachines/fortiadcprd01""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"FortiADCPRD02","DsiADC01","FORTIADC-RG","West Europe","Running","Linux","Standard_F8s"," -","2","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/27968616-adf3-45ac-9277-2750fe1d896f/resourcegroups/fortiadc-rg/providers/microsoft.compute/virtualmachines/fortiadcprd02""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"fortigateA","DsiTier0","INFRA-NETWORK-RG","West Europe","Running","Linux","Standard_F8s","52.157.233.150","2","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/c704e378-20de-426d-af3d-6ef10c3545f0/resourcegroups/infra-network-rg/providers/microsoft.compute/virtualmachines/fortigatea""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
