NAME,SUBSCRIPTION,LOCATION
"aad-b2c-rg","DsiTier0","West Europe"
"ai_ai-aadb2c-acc_61702e31-429c-4143-8423-abb748d60793_managed","DsiTier0","West Europe"
"ai_ai-apim-acc_a82476b0-1c46-4496-ad5c-fc178ba774e3_managed","DsiAcc01","West Europe"
"ai_ai-apim-prd_8607a545-5354-45a0-bd51-b1879549a6f0_managed","DsiProd01","West Europe"
"ai_apim-dev_79689b95-267f-4c4f-9c1a-1a48878f79ef_managed","DsiDev01","West Europe"
"ai_intranetforem-acc_4d777a34-d695-4039-8bc0-926810142f82_managed","DsiAcc01","West Europe"
"ai_intranetforem-prod_d7d20a15-48bd-465d-b298-3200b42b2a6f_managed","DsiTier0","West Europe"
"ai_svdbigdata-appi_d373a166-eef6-4a9e-9319-55edfa8d6531_managed","DsiDev01","West Europe"
"ai_svpbigdata-appi_b4922a96-a286-4c7b-8a1b-168f08ec710d_managed","DsiProd01","West Europe"
"apim-acc-rg","DsiAcc01","West Europe"
"apim-dev-rg","DsiDev01","West Europe"
"apim-prd-rg","DsiProd01","West Europe"
"automation-rg","DsiTier0","West Europe"
"AzureBackupRG_westeurope_1","DsiDmz01","West Europe"
"AzureBackupRG_westeurope_1","CspProd01","West Europe"
"AzureBackupRG_westeurope_1","DsiDev01","West Europe"
"AzureBackupRG_westeurope_1","CspAcc01","West Europe"
"AzureBackupRG_westeurope_1","DsiProd01","West Europe"
"AzureBackupRG_westeurope_1","DsiTier0","West Europe"
"AzureBackupRG_westeurope_1","DsiAcc01","West Europe"
"AzureBackupRG_westeurope_1","CspDev01","West Europe"
"centos-rg","DsiDmz01","West Europe"
"centos-rg","DsiDev01","West Europe"
"centos-rg","DsiTier0","West Europe"
"core-rg","DsiTier0","West Europe"
"cspacc01-vault-rg","CspAcc01","West Europe"
"cspdev01-vault-rg","CspDev01","West Europe"
"cspform01-vault-rg","CspForm01","West Europe"
"cspprod01-vault-rg","CspProd01","West Europe"
"dashboards","DsiTier0","West Europe"
"dashboards","DsiAcc01","West Europe"
"DefaultResourceGroup-WEU","DsiDev01","West Europe"
"DefaultResourceGroup-WEU","DsiProd01","West Europe"
"DefaultResourceGroup-WEU","DsiAcc01","West Europe"
"dsiacc01-vault-rg","DsiAcc01","West Europe"
"dsidev01-vault-rg","DsiDev01","West Europe"
"dsidmz01-vault-rg","DsiDmz01","West Europe"
"dsiform01-vault-rg","DsiForm01","West Europe"
"dsiprod01-vault-rg","DsiProd01","West Europe"
"dsitier0-vault-rg","DsiTier0","West Europe"
"fad-rg","DsiDev01","West Europe"
"fad-rg","DsiAcc01","West Europe"
"fortiadc-rg","DsiADC01","West Europe"
"fortigateTest-rg","DsiTier0","West Europe"
"images-rg","DsiTier0","West Europe"
"infra-backup-rg","DsiTier0","West Europe"
"infra-db-rg","DsiDev01","West Europe"
"infra-network-rg","DsiDmz01","West Europe"
"infra-network-rg","DsiADC01","West Europe"
"infra-network-rg","CspProd01","West Europe"
"infra-network-rg","DsiDev01","West Europe"
"infra-network-rg","CspAcc01","West Europe"
"infra-network-rg","DsiStandAlone01","West Europe"
"infra-network-rg","CspForm01","West Europe"
"infra-network-rg","DsiProd01","West Europe"
"infra-network-rg","DsiTier0","West Europe"
"infra-network-rg","DsiAcc01","West Europe"
"infra-network-rg","DsiForm01","West Europe"
"infra-network-rg","CspDev01","West Europe"
"IT_RGDTEMPLATEWVD_WVDTemplate04_b8da1451-8f2a-409d-be4d-2f10f97c9696","DsiDev01","West Europe"
